"filename", "language", "Python", "Markdown", "Log", "Jupyter", "comment", "blank", "total"
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\RC.py", "Python", 274, 0, 0, 0, 86, 75, 435
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\README.md", "Markdown", 0, 1, 0, 0, 0, 2, 3
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\config.py", "Python", 56, 0, 0, 0, 7, 14, 77
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\data.py", "Python", 203, 0, 0, 0, 27, 37, 267
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\dynamics.py", "Python", 112, 0, 0, 0, 31, 27, 170
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\net.py", "Python", 115, 0, 0, 0, 11, 29, 155
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\openbox_logs\OpenBox-parallel_async.log", "Log", 0, 0, 9356, 0, 0, 1, 9357
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\test.ipynb", "Jupyter", 0, 0, 0, 943, 0, 1, 944
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\test.py", "Python", 8, 0, 0, 0, 8, 7, 23
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\train.py", "Python", 117, 0, 0, 0, 21, 22, 160
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\train_gpu.py", "Python", 228, 0, 0, 0, 22, 46, 296
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\utils.py", "Python", 144, 0, 0, 0, 9, 25, 178
"Total", "-", 1257, 1, 9356, 943, 222, 286, 12065