"filename", "language", "Python", "Markdown", "XML", "JSON", "Log", "Jupyter", "comment", "blank", "total"
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\RC.py", "Python", -274, 0, 0, 0, 0, 0, -86, -75, -435
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\README.md", "Markdown", 0, -1, 0, 0, 0, 0, 0, -2, -3
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\config.py", "Python", -56, 0, 0, 0, 0, 0, -7, -14, -77
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\data.py", "Python", -203, 0, 0, 0, 0, 0, -27, -37, -267
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\dynamics.py", "Python", -112, 0, 0, 0, 0, 0, -31, -27, -170
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\net.py", "Python", -115, 0, 0, 0, 0, 0, -11, -29, -155
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\openbox_logs\OpenBox-parallel_async.log", "Log", 0, 0, 0, 0, -9356, 0, 0, -1, -9357
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\test.ipynb", "Jupyter", 0, 0, 0, 0, 0, -943, 0, -1, -944
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\test.py", "Python", -8, 0, 0, 0, 0, 0, -8, -7, -23
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\train.py", "Python", -117, 0, 0, 0, 0, 0, -21, -22, -160
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\train_gpu.py", "Python", -228, 0, 0, 0, 0, 0, -22, -46, -296
"c:\Users\44670\Documents\GitHub\Reservoir-Computing\utils.py", "Python", -144, 0, 0, 0, 0, 0, -9, -25, -178
"f:\GitHubClone\Reservoir-Computing\RC.py", "Python", 437, 0, 0, 0, 0, 0, 174, 127, 738
"f:\GitHubClone\Reservoir-Computing\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 2, 3
"f:\GitHubClone\Reservoir-Computing\attack.py", "Python", 65, 0, 0, 0, 0, 0, 3, 18, 86
"f:\GitHubClone\Reservoir-Computing\config.py", "Python", 63, 0, 0, 0, 0, 0, 10, 14, 87
"f:\GitHubClone\Reservoir-Computing\data.py", "Python", 203, 0, 0, 0, 0, 0, 27, 37, 267
"f:\GitHubClone\Reservoir-Computing\data\Cora\Cora\processed\data.pt", "XML", 0, 0, 792, 0, 0, 0, 0, 10, 802
"f:\GitHubClone\Reservoir-Computing\data\Cora\Cora\processed\pre_filter.pt", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 2
"f:\GitHubClone\Reservoir-Computing\data\Cora\Cora\processed\pre_transform.pt", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 2
"f:\GitHubClone\Reservoir-Computing\dynamics.py", "Python", 112, 0, 0, 0, 0, 0, 31, 27, 170
"f:\GitHubClone\Reservoir-Computing\net.py", "Python", 124, 0, 0, 0, 0, 0, 11, 29, 164
"f:\GitHubClone\Reservoir-Computing\openbox_logs\OpenBox-parallel_async.log", "Log", 0, 0, 0, 0, 9356, 0, 0, 1, 9357
"f:\GitHubClone\Reservoir-Computing\test.ipynb", "JSON", 0, 0, 0, 1268, 0, 0, 0, 1, 1269
"f:\GitHubClone\Reservoir-Computing\test.py", "Python", 9, 0, 0, 0, 0, 0, 8, 7, 24
"f:\GitHubClone\Reservoir-Computing\train.py", "Python", 117, 0, 0, 0, 0, 0, 21, 22, 160
"f:\GitHubClone\Reservoir-Computing\train_gpu.py", "Python", 197, 0, 0, 0, 0, 0, 19, 36, 252
"f:\GitHubClone\Reservoir-Computing\utils.py", "Python", 164, 0, 0, 0, 0, 0, 9, 27, 200
"Total", "-", 234, 0, 796, 1268, 0, -943, 91, 72, 1518